Column ID,Ratio (FLT vs. GRD),Gene name,Gene function,P-value
orf19.2671_1046,0.42,NDI1,NADH dehydrogenase,4.67E-02
orf19.4099_2254,0.42,ECM17,extracellular sulfite reductase,7.30E-04
orf19.3873_1029,0.42,ARC40,component of the ARP2-3 complex,9.84E-06
orf19.4755_2734,0.42,KEX2,Kexin protease | late Golgi endoprotease that processes of alpha-factor,2.10E-03
orf19.732_60,0.42,SPS22,carbonyl reductase similar to SOU1 and SOU2,2.87E-02
orf19.2822_41,0.42,,hypothetical protein,4.35E-03
orf19.3547_1916,0.42,PUF6,member of the PUF protein family,5.97E-04
orf19.4477_551,0.41,IFD4,aryl-alcohol dehydrogenase,5.60E-03
orf19.3133_1848,0.41,GUT2,mitochondrial glycerol-3-phosphate dehydrogenase,5.69E-05
orf19.3836_405,0.41,,conserved hypothetical protein,1.71E-04
orf19.4440_2241,0.41,COG3,Conserved Oligomeric Golgi complex 3 secretion (golgi retention) deficient | required for vesicle tethering to the yeast Golgi apparatus,1.26E-02
orf19.6008_2496,0.41,,conserved hypothetical protein,2.31E-03
orf19.7328_2563,0.41,CAP100,Candida albicans p100 homolog,9.47E-04
orf19.6818_3344,0.41,,RNA helicase,2.00E-03
orf19.2805_2280,0.41,PEX99,putative peroxisomal protein,1.33E-03
orf19.4445_1331,0.40,,hypothetical protein,1.27E-02
orf19.1012_357,0.40,APS1,AP-1 clathrin associated protein complex subunit,1.84E-06
orf19.3740_692,0.40,,hypothetical protein,9.11E-03
orf19.3181.1,0.40,NCE11,involved in non-classical protein export pathway,8.11E-06
orf19.5438_160,0.40,,hypothetical protein,3.79E-05
orf19.4479_1735,0.40,,conserved hypothetical protein,1.99E-03
orf19.4579_799,0.39,ERV29,ER-Golgi transport vesicle protein,4.04E-03
orf19.5025_1446,0.39,MET3,"ATP sulfurylase, Amino acid metabolism",6.42E-05
orf19.1985_249,0.39,,conserved hypothetical protein (merged with orf19.3488),1.10E-04
orf19.3335_444,0.39,,hypothetical protein,2.30E-03
orf19.3459_1014,0.39,MCK1,serine/threonine/tyrosine protein kinase involved in chromosome segregation,1.05E-02
orf19.2724_1039,0.39,,hypothetical protein,2.82E-03
orf19.5753_1345,0.39,STL1,sugar transporter,2.32E-04
orf19.3573_3084,0.39,PEX6,peroxisomal assembly protein | AAA ATPase,2.17E-03
orf19.3507_322,0.39,MCR1,cytochrome b5 reductase,6.16E-05
orf19.5462_410,0.39,,hypothetical protein,4.70E-03
orf19.1719_1613,0.39,SGA1,glucoamylase,1.15E-02
orf19.5777_544,0.38,,"involved in pseudohyphal growth, resistance to NaCl and H2O2",1.26E-05
orf19.1203.1,0.38,,conserved hypothetical protein,9.57E-05
orf19.3226_19,0.38,NPC2,vacuolar protein and homolog of Niemann Pick type C protein,2.74E-03
orf19.2837_903,0.38,ALG5,UDP-glucose:dolichyl-phosphate glucosyltransferase,1.25E-02
orf19.398_236,0.38,,hypothetical protein,3.18E-03
orf19.6985_2614,0.37,TEA1,transcription factor with fungal Zn(2)- Cys(6) binuclear cluster domain | TY1 enhancer activator,2.07E-02
orf19.889_1175,0.37,THI20,thiamine biosynthesis | phosphomethylpyrimidine kinase,5.51E-03
orf19.2416.1,0.37,MLC1,myosin light chain,3.28E-05
orf19.10_1251,0.37,ALK8,cytochrome p450,4.49E-03
orf19.6527_3245,0.37,PRM10,pheromone-regulated membrane,7.68E-03
orf19.1344_53,0.36,,hypothetical protein,2.65E-02
orf19.3041_1842,0.36,,conserved hypothetical protein with similarity to ROD1,4.46E-04
orf19.6196_170,0.36,,hypothetical protein,1.71E-04
orf19.1495_650,0.36,UTR4,hydrolase,1.72E-02
orf19.4886_253,0.35,,hypothetical protein,1.33E-04
orf19.1066_75,0.35,,conserved hypothetical protein,1.12E-04
orf19.2897_637,0.35,SOU2,"peroxisomal 2,4- dienoyl-CoA reductase and sorbitol utilization protein",4.59E-02
orf19.677_658,0.35,CHO1,phosphatidylserine synthase,2.68E-05
orf19.3969_1973,0.35,HSR1,heat-shock related protein,1.92E-05
orf19.3994_956,0.35,OST3,oligosaccharyltransferase gamma subunit,1.64E-02
orf19.7330_45,0.35,PET18,transcriptional regulator,6.36E-04
orf19.3782_1583,0.35,,acetyl-coenzyme A transporter,8.09E-03
orf19.946_272,0.35,MET14,adenylylsulfate kinase,7.23E-04
orf19.5295_1010,0.34,,conserved hypothetical protein,6.58E-03
orf19.94_365,0.34,,hypothetical protein,1.47E-03
orf19.4264_681,0.33,,hypothetical protein,2.05E-05
orf19.535_248,0.33,,hypothetical serine-rich protein,3.69E-06
orf19.6988_922,0.33,OST1,oligosaccharyltransferase | involved in glycosylation in the ER lumen,1.01E-07
orf19.3469_1051,0.33,,hypothetical protein,2.99E-04
orf19.3520_80,0.33,,hypothetical protein,4.36E-03
orf19.4903_968,0.33,GPI12,N-acetylglucosaminylphosphatidylinositol de-N-acetylase,2.33E-02
orf19.4076_3165,0.33,MET10,sulfite reductase flavin-binding subunit,4.11E-06
orf19.1946_664,0.32,,conserved hypothetical protein,1.02E-04
orf19.334_252,0.32,,hypothetical protein,1.01E-05
orf19.3016_346,0.32,,conserved hypothetical protein,5.25E-03
orf19.3374_455,0.31,ECE1,secreted cell elongation protein,3.44E-03
orf19.1120_153,0.30,,hypothetical protein,3.84E-03
orf19.2269_481,0.30,,3-phosphoserine phosphatase,2.48E-02
orf19.3488_677,0.30,,hypothetical protein (merged with orf19.1985),2.97E-02
orf19.691_1048,0.29,GPD1,glycerol-3-phosphate dehydrogenase,4.31E-04
orf19.5517_879,0.29,ADH6,alcohol dehydrogenase,4.12E-04
orf19.3419_687,0.29,MAE1,mitochondrial malate dehydrogenase,3.16E-04
orf19.242.2,0.27,YSY6,secretory pathway protein,2.89E-06
orf19.7411_204,0.26,OAC1,mitochondrial oxaloacetate transport protein,2.83E-03
orf19.1112_2071,0.26,BUD7,involved in bud-site selection,3.32E-06
orf19.7324_806,0.25,THI13,pyrimidine precursor biosynthesis enzyme,6.80E-05
orf19.5557_2117,0.24,MNN43,transfer mannosylphosphate to oligosaccharides,3.37E-03
orf19.5992_1255,0.22,,zinc finger transcription factor,3.07E-04
orf19.5210_1072,0.21,XBP1,transcription factor,1.18E-03
orf19.2552_2609,0.20,PMR2,Ca2+ ATPase,2.20E-08
orf19.2038_882,0.19,,hypothetical protein,6.33E-04
